State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State Name_x,County Name_x,Avg Concentration,Max Concentration,90th Percentile Conc,Median Concentration,10th Percentile Conc,State Name_y,County Name_y,New Avg Concentration,New Max Concentration,New 90th Percentile Conc,New Median Concentration,New 10th Percentile Conc
California,Los Angeles,2021.0,365.0,9.0,259.0,70.0,26.0,1.0,0.0,281.0,143.0,79.0,0.0,13.0,148.0,199.0,5.0,California,Los Angeles,128.0041221523224,1442.0,134.99420239071037,127.59181656869448,97.98954946718146,California,Los Angeles,128.0041221523224,1442.0,134.99420239071037,127.59181656869447,97.98954946718146
California,Madera,2021.0,365.0,133.0,197.0,28.0,7.0,0.0,0.0,194.0,100.0,58.0,0.0,0.0,210.0,131.0,24.0,California,Madera,57.54914976190476,1023.4,69.73868253968254,59.18926984126984,41.40411904761905,California,Madera,57.54914976190476,1023.4,69.73868253968254,59.18926984126984,41.40411904761905
California,Marin,2021.0,365.0,267.0,98.0,0.0,0.0,0.0,0.0,88.0,60.0,38.0,0.0,2.0,149.0,214.0,0.0,California,Marin,2.0979553,112.1,3.930291416666667,1.7280635,0.6583250420168067,California,Marin,2.0979553,112.1,3.930291416666667,1.7280635,0.6583250420168067
California,Mariposa,2021.0,365.0,193.0,140.0,25.0,7.0,0.0,0.0,162.0,97.0,49.0,0.0,0.0,292.0,73.0,0.0,California,Mariposa,7.344463263636364,450.0,11.490795727272726,6.547863090909091,3.788974090909091,California,Mariposa,7.344463263636364,450.0,11.490795727272726,6.547863090909091,3.788974090909091
California,Mendocino,2021.0,365.0,210.0,147.0,6.0,2.0,0.0,0.0,185.0,69.0,46.0,0.0,0.0,76.0,289.0,0.0,California,Mendocino,8.260590264705883,187.0,14.770264705882354,6.798205882352941,2.843588235294117,California,Mendocino,8.260590264705883,187.0,14.770264705882354,6.798205882352941,2.8435882352941175
California,Merced,2021.0,365.0,155.0,177.0,31.0,2.0,0.0,0.0,166.0,100.0,54.0,0.0,0.0,210.0,151.0,4.0,California,Merced,25.404265272727272,360.0,40.184333333333335,26.17848484848485,8.970212121212121,California,Merced,25.404265272727272,360.0,40.184333333333335,26.17848484848485,8.970212121212121
California,Mono,2021.0,364.0,260.0,78.0,12.0,11.0,0.0,3.0,2971.0,84.0,27.0,0.0,0.0,0.0,241.0,123.0,California,Mono,56.66974966530612,35585.0,71.28835097959184,53.72713885714286,32.29480672340426,California,Mono,56.66974966530612,35585.0,71.28835097959184,53.72713885714286,32.29480672340426
California,Monterey,2021.0,365.0,261.0,104.0,0.0,0.0,0.0,0.0,80.0,57.0,41.0,0.0,0.0,161.0,194.0,10.0,California,Monterey,56.39380343157895,909.0,69.37297894736842,60.31084210526316,33.27120430107527,California,Monterey,56.39380343157895,909.0,69.37297894736842,60.310842105263156,33.27120430107527
California,Napa,2021.0,140.0,108.0,32.0,0.0,0.0,0.0,0.0,77.0,56.0,41.0,1.0,0.0,74.0,65.0,0.0,California,Napa,3.699899914893617,79.1,6.509255319148936,2.9989565217391303,1.5812826086956522,California,Napa,3.699899914893617,79.1,6.509255319148936,2.9989565217391303,1.5812826086956522
California,Nevada,2021.0,365.0,183.0,129.0,34.0,13.0,4.0,2.0,326.0,115.0,50.0,0.0,0.0,208.0,157.0,0.0,California,Nevada,206.0613264854369,1440.0,209.4300291262136,191.0493684210526,162.95223529411766,California,Nevada,206.0613264854369,1440.0,209.4300291262136,191.0493684210526,162.95223529411766
California,Orange,2021.0,365.0,109.0,238.0,18.0,0.0,0.0,0.0,148.0,87.0,55.0,0.0,5.0,124.0,232.0,4.0,California,Orange,128.12650603238868,1440.0,136.48146153846156,127.81403238866396,98.25564285714286,California,Orange,128.12650603238868,1440.0,136.48146153846156,127.81403238866396,98.25564285714286
